system:time_start,spei1y
"Jun 1, 2004",-0.577
"Jul 1, 2004",-0.19
"Aug 1, 2004",-0.117
"Sep 1, 2004",0.181
"Jun 1, 2005",0.517
"Jul 1, 2005",0.393
"Aug 1, 2005",0.126
"Sep 1, 2005",-0.271
"Jun 1, 2006",0.058
"Jul 1, 2006",0.014
"Aug 1, 2006",-0.003
"Sep 1, 2006",0.028
"Jun 1, 2007",-1.582
"Jul 1, 2007",-1.761
"Aug 1, 2007",-1.641
"Sep 1, 2007",-1.44
"Jun 1, 2008",-1.19
"Jul 1, 2008",-1.196
"Aug 1, 2008",-0.854
"Sep 1, 2008",-0.906
"Jun 1, 2009",-2.05
"Jul 1, 2009",-1.96
"Aug 1, 2009",-1.944
"Sep 1, 2009",-2.09
"Jun 1, 2010",0.284
"Jul 1, 2010",0.251
"Aug 1, 2010",0.313
"Sep 1, 2010",0.471
"Jun 1, 2011",1.532
"Jul 1, 2011",1.787
"Aug 1, 2011",2.07
"Sep 1, 2011",1.271
"Jun 1, 2012",-0.336
"Jul 1, 2012",-0.159
"Aug 1, 2012",-0.491
"Sep 1, 2012",-0.536
"Jun 1, 2013",-0.232
"Jul 1, 2013",-0.17
"Aug 1, 2013",-0.101
"Sep 1, 2013",0.295
"Jun 1, 2014",1.097
"Jul 1, 2014",1.061
"Aug 1, 2014",1.137
"Sep 1, 2014",1.027
"Jun 1, 2015",0.139
"Jul 1, 2015",-0.409
"Aug 1, 2015",-0.546
"Sep 1, 2015",-0.625
"Jun 1, 2016",-0.762
"Jul 1, 2016",0.056
"Aug 1, 2016",-0.088
"Sep 1, 2016",-0.116
"Jun 1, 2017",0.585
"Jul 1, 2017",0.18
"Aug 1, 2017",0.03
"Sep 1, 2017",-0.083
"Jun 1, 2018",-1.63
"Jul 1, 2018",-1.497
"Aug 1, 2018",-1.428
"Sep 1, 2018",-1.142
"Jun 1, 2019",0.615
"Jul 1, 2019",0.683
"Aug 1, 2019",0.77
"Sep 1, 2019",0.984
"Jun 1, 2020",-0.119
"Jul 1, 2020",-0.058
"Aug 1, 2020",-0.341
"Sep 1, 2020",-0.785
"Jun 1, 2021",-2.07
"Jul 1, 2021",-2.09
"Aug 1, 2021",-2.09
"Sep 1, 2021",-2.09
"Jun 1, 2022",-0.412
"Jul 1, 2022",0.132
"Aug 1, 2022",-0.049
"Sep 1, 2022",-0.228
"Jun 1, 2023",-1.55
"Jul 1, 2023",-2.07
"Aug 1, 2023",-1.562
"Sep 1, 2023",-1.035
"Jun 1, 2024",-0.236
"Jul 1, 2024",-0.057
"Aug 1, 2024",-0.164
"Sep 1, 2024",-0.178
